序号,类型,路径
1,图片型PHP后门-建议清理,/www/wwwroot/lovekf.cn/334/center.php
2,PHP异常包含-建议人工鉴定,/www/wwwroot/lovekf.cn/334/dapeng.php
3,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_install/index.php
4,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/admin/admin_top.php
5,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/cmd.php
6,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/defend/en.php
7,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/defend/error.php
8,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/c_system_admin.php
9,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/c_system_admin_function.php
10,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/c_system_common.php
11,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/c_system_defined.php
12,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/c_system_misc.php
13,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/c_system_plugin.php
14,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/lib/base/post.php
15,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/lib/database/pdo_mysql.php
16,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/lib/database/pdo_postgresql.php
17,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/lib/database/pdo_sqlite.php
18,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/lib/network/curl.php
19,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/function/lib/zblogphp.php
20,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/login.php
21,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_system/script/c_html_js_add.php
22,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/404.php
23,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/album.php
24,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/archive.php
25,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/author.php
26,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/catalog.php
27,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/forum.php
28,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/hotspot.php
29,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/index.php
30,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/navbar.php
31,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/page.php
32,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/post-hotspotistop.php
33,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/post-hotspotmulti.php
34,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/post-istop.php
35,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/post-multi.php
36,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/post-page.php
37,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/post-single.php
38,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/post-widepage.php
39,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/post-widesingle.php
40,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/readers.php
41,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/search.php
42,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/single.php
43,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/sticker.php
44,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/tags.php
45,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/cache/compiled/tpure/widetags.php
46,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/language/en.php
47,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/language/zh-cn.php
48,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/language/zh-tw.php
49,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/plugin/AppCentre/function.php
50,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/plugin/AppCentre/include.php
51,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/plugin/LinksManage/include.php
52,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/plugin/LinksManage/main.php
53,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/theme/WhitePage/include.php
54,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/theme/Zit/language/en.php
55,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/theme/Zit/language/zh-cn.php
56,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/theme/Zit/language/zh-tw.php
57,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/theme/os2020/include.php
58,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/theme/tpure/include.php
59,疑似PHP后门-建议人工确认,/www/wwwroot/lovekf.cn/zb_users/theme/tpure/plugin/phpmailer/phpmailer.php
